name,x,y,cat,label
France,40538,30,Developed,
Netherlands,47960,54,Developed,
Italy,35131,13,Developed,
South Korea,35379,14,Developed,
Canada,44967,17,Developed,
India,5808,9,Developed,
Belgium,43139,28,Developed,
Spain,33835,14,Developed,
Russia,24449,16,Developed,
Mexico,17950,11,Developed,
Brazil,16155,5,Developed,
Switzerland,58149,18,Developed,
Australia,46550,10,Developed,
Saudi Arabia,52311,23,Developed,
United Arab Emirates,66347,22,Developed,
Malaysia,25145,12,Developed,
Thailand,15579,11,Developed,
Poland,25247,7,Developed,
Sweden,46219,13,Developed,
Ireland,51284,46,Developed,
Turkey,19698,5,Developed,
Indonesia,10651,3,Developed,
Austria,46640,12,Developed,
Norway,67166,6,Developed,
Czech Republic,30047,7,Developed,
Finland,40661,5,Developed,
Denmark,44625,9,Developed,
Vietnam,5656,6,Developed,
Kuwait,70686,11,Developed,
Hungary,25019,7,Developed,
South Africa,13094,3,Developed,
Nigeria,6054,2,Developed,
Portugal,27069,5,Developed,
Israel,33136,5,Developed,
Chile,23057,4,Developed,
Philippines,6974,3,Developed,
Slovak Republic,28279,5,Developed,
Argentina,22302,2,Developed,
Colombia,13480,2,BRICS,
Romania,19744,4,BRICS,
Kazakhstan,24108,10,BRICS,
Venezuela,17759,2,BRICS,
Greece,25954,4,BRICS,
Egypt,10918,2,BRICS,
Algeria,13888,2,BRICS,
Ukraine,8681,10,BRICS,
New Zealand,35305,4,BRICS,
Peru,11860,2,BRICS,
Oman,43847,3,BRICS,
Pakistan,4749,3,BRICS,
Bangladesh,3391,3,BRICS,
Morocco,7813,3,BRICS,
Angola,7270,2,BRICS,
Azerbaijan,17761,3,BRICS,
Belarus,18246,4,BRICS,
Ecuador,11303,2,BRICS,
Croatia,20947,4,BRICS,
Sri Lanka,10410,2,BRICS,
Guatemala,7550,1,BRICS,
Dominican Republic,14014,2,BRICS,
Mozambique,1178,3,BRICS,
Kenya,3099,1,BRICS,
Cambodia,3276,2,BRICS,
Uruguay,21055,1,BRICS,
Ghana,4137,1,BRICS,
Zambia,4087,1,Test,
Yemen,3788,1,Test,
Tanzania,2742,1,Test,
Uganda,1939,1,Test,
Cameroon,3007,1,Test,
Senegal,2352,1,Test,
Mali,1742,1,Test,
Burkina Faso,1688,2,Test,
Guinea,1257,1,Test,
Rwanda,1703,1,Test,
China,13224,34,Test,
US,54370,53,Test,
Germany,46216,52,Test,
UK,39826,41,Test,
Japan,37519,11,Test,
Singapore,83066,64,Test,